time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-07-06 08:00:00-04:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-06 08:00:00-04:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-06 08:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-06 08:00:00-04:00,buy,fill,706.0,AAPL,stock,,0.0,,225.4199066162109,market,1,318.2929081420898,0.0,trade,,,,,,,,,,,,
2024-07-06 08:00:00-04:00,buy,fill,292.0,META,stock,,0.0,,537.1599731445312,market,1,313.70142431640625,0.0,trade,,,,,,,,,,,,
2024-07-06 08:00:00-04:00,buy,fill,1092.0,NVDA,stock,,0.0,,127.0199966430664,market,1,277.411672668457,0.0,trade,,,,,,,,,,,,
2024-07-09 08:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-09 08:00:00-04:00,buy,fill,938.0,NVDA,stock,,0.0,,127.83989715576172,market,1,239.82764706420897,0.0,trade,,,,,,,,,,,,
2024-07-09 12:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-09 12:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-09 12:00:00-04:00,buy,fill,593.0,TSLA,stock,,0.0,,258.69000244140625,market,1,306.80634289550784,0.0,trade,,,,,,,,,,,,
2024-07-09 12:00:00-04:00,sell,fill,935.0,NVDA,stock,,0.0,,131.57699584960938,market,1,246.04898223876955,0.0,trade,,,,,,,,,,,,
2024-07-11 08:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-11 08:00:00-04:00,buy,fill,682.0,NVDA,stock,,0.0,,134.67999267578125,market,1,183.70351000976564,0.0,trade,,,,,,,,,,,,
2024-07-12 12:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-12 12:00:00-04:00,buy,fill,1390.0,AMD,stock,,0.0,,185.63400268554688,market,1,516.0625274658204,0.0,trade,,,,,,,,,,,,
2024-07-15 12:00:00-04:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-15 12:00:00-04:00,buy,fill,392.0,AAPL,stock,,0.0,,235.57000732421875,market,1,184.6868857421875,0.0,trade,,,,,,,,,,,,
2024-07-16 08:00:00-04:00,buy,new,,MSFT,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-16 08:00:00-04:00,buy,fill,562.0,MSFT,stock,,0.0,,454.1400146484375,market,1,510.45337646484376,0.0,trade,,,,,,,,,,,,
2024-07-16 12:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-16 12:00:00-04:00,buy,fill,403.0,TSLA,stock,,0.0,,251.9250030517578,market,1,203.0515524597168,0.0,trade,,,,,,,,,,,,
2024-07-18 08:00:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-18 08:00:00-04:00,buy,fill,1263.0,AMZN,stock,,0.0,,187.8300018310547,market,1,474.45858462524416,0.0,trade,,,,,,,,,,,,
2024-07-19 08:00:00-04:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-19 08:00:00-04:00,buy,fill,197.0,META,stock,,0.0,,473.9200134277344,market,1,186.72448529052735,0.0,trade,,,,,,,,,,,,
2024-07-25 08:00:00-04:00,buy,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-25 08:00:00-04:00,buy,fill,1232.0,GOOGL,stock,,0.0,,172.49000549316406,market,1,425.01537353515624,0.0,trade,,,,,,,,,,,,
2024-07-28 16:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-28 16:00:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-28 16:00:00-04:00,sell,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-28 16:00:00-04:00,sell,fill,730.0,NVDA,stock,,0.0,,112.87000274658205,market,1,164.7902040100098,0.0,trade,,,,,,,,,,,,
2024-07-28 16:00:00-04:00,sell,fill,556.0,AMD,stock,,0.0,,139.9600067138672,market,1,155.63552746582033,0.0,trade,,,,,,,,,,,,
2024-07-28 16:00:00-04:00,sell,fill,550.0,GOOGL,stock,,0.0,,166.875,market,1,183.5625,0.0,trade,,,,,,,,,,,,
2024-07-28 20:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-28 20:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-28 20:00:00-04:00,buy,fill,407.0,AMD,stock,,0.0,,139.9600067138672,market,1,113.9274454650879,0.0,trade,,,,,,,,,,,,
2024-07-28 20:00:00-04:00,buy,fill,488.0,NVDA,stock,,0.0,,112.87000274658205,market,1,110.16112268066408,0.0,trade,,,,,,,,,,,,
